title,author,rank,votes,previous_rank,rank_change,goodreads
The Inheritance Cycle,Christopher Paolini,105,16,93,-12,https://www.goodreads.com/series/44866-the-inheritance-cycle
Babel,R.F. Kuang,111,15,126,15,https://www.goodreads.com/book/show/57945316-babel
The Last Unicorn,Peter S. Beagle,111,15,93,-18,https://www.goodreads.com/series/108965-the-last-unicorn
Fullmetal Alchemist,Hiromu Arakawa,111,15,113,2,https://www.goodreads.com/book/show/52848301-fullmetal-alchemist
The Radiant Emperor,Shelley Parker-Chan,114,14,167,53,https://www.goodreads.com/series/304356-the-radiant-emperor
1984,George Orwell,114,14,201,87,https://www.goodreads.com/book/show/61439040-1984
Station Eleven,Emily St. John Mandel,114,14,147,33,https://www.goodreads.com/book/show/20170404-station-eleven
Empire of the Vampire,Jay Kristoff,114,14,158,44,https://www.goodreads.com/series/254488-empire-of-the-vampire
The Magicians,Lev Grossman,114,14,120,6,https://www.goodreads.com/series/50834-the-magicians
The Daevabad Trilogy,S.A. Chakraborty,114,14,108,-6,https://www.goodreads.com/series/211584-the-daevabad-trilogy
Craft Sequence,Max Gladstone,114,14,167,53,https://www.goodreads.com/series/91029-craft-sequence
Queen's Thief,Megan Whalen Turner,114,14,147,33,https://www.goodreads.com/series/43514-the-queen-s-thief
Monk & Robot,Becky Chambers,122,13,167,45,https://www.goodreads.com/series/239322-monk-and-robot
Temeraire,Naomi Novik,122,13,137,15,https://www.goodreads.com/series/43272-temeraire
A Practical Guide to Evil,ErraticErrata,122,13,235,113,https://practicalguidetoevil.wordpress.com/author/erraticerrata/
The Night Circus,Erin Morgenstern,122,13,137,15,https://www.goodreads.com/book/show/9361589-the-night-circus
Lightbringer,Brent Weeks,122,13,53,-69,https://www.goodreads.com/series/291662-lightbringer
Mage Errant,John Bierce,122,13,120,-2,https://www.goodreads.com/series/252085-mage-errant
The Dark Profit Saga,J. Zachary Pike,122,13,183,61,https://www.goodreads.com/series/207236-the-dark-profit-saga
